State,Prevalence,95% CI
Alabama,38.9,"(37.1, 40.7)"
Alaska,34.0,"(32.0, 36.0)"
Arizona,33.3,"(31.4, 35.3)"
Arkansas,38.9,"(37.2, 40.7)"
California,29.1,"(27.6, 30.5)"
Colorado,25.0,"(24.0, 26.0)"
Connecticut,32.0,"(30.4, 33.6)"
Delaware,36.6,"(34.5, 38.9)"
District of Columbia,25.5,"(23.5, 27.5)"
Florida,29.6,"(28.1, 31.3)"
Georgia,35.4,"(33.7, 37.1)"
Guam,40.2,"(32.9, 47.9)"
Hawaii,27.0,"(25.4, 28.6)"
Idaho,32.7,"(30.8, 34.7)"
Illinois,34.2,"(33.1, 35.3)"
Indiana,38.4,"(37.3, 39.5)"
Iowa,36.6,"(35.3, 38.0)"
Kansas,37.6,"(36.3, 38.8)"
Kentucky,37.2,"(35.5, 38.9)"
Louisiana,39.2,"(37.4, 41.1)"
Maine,33.2,"(32.1, 34.4)"
Maryland,32.7,"(31.5, 33.8)"
Massachusetts,27.0,"(25.8, 28.2)"
Michigan,36.1,"(34.8, 37.5)"
Minnesota,32.3,"(31.4, 33.3)"
Mississippi,40.4,"(38.1, 42.7)"
Missouri,34.6,"(33.1, 36.2)"
Montana,31.0,"(29.5, 32.4)"
Nebraska,37.6,"(36.4, 38.9)"
Nevada,34.2,"(31.3, 37.3)"
New Hampshire,31.1,"(29.3, 32.9)"
New Jersey,27.7,"(26.3, 29.0)"
New Mexico,34.5,"(32.1, 37.1)"
New York,29.5,"(28.8, 30.2)"
North Carolina,34.5,"(32.7, 36.3)"
North Dakota,36.8,"(35.2, 38.5)"
Ohio,36.9,"(35.5, 38.4)"
Oklahoma,36.8,"(35.4, 38.2)"
Oregon,33.5,"(32.1, 35.0)"
Pennsylvania,34.2,"(32.0, 36.5)"
Puerto Rico,36.2,"(33.9, 38.4)"
Rhode Island,31.1,"(29.3, 32.9)"
South Carolina,34.6,"(32.9, 36.4)"
South Dakota,37.0,"(33.8, 40.3)"
Tennessee,Insufficient data*,Insufficient data*
Texas,35.6,"(34.0, 37.3)"
Utah,31.0,"(29.9, 32.1)"
Vermont,29.0,"(27.5, 30.5)"
Virgin Islands,37.7,"(30.7, 45.3)"
Virginia,32.3,"(30.7, 34.0)"
Washington,31.5,"(30.7, 32.2)"
West Virginia,41.4,"(39.8, 43.0)"
Wisconsin,37.4,"(36.1, 38.7)"
Wyoming,32.5,"(30.7, 34.3)"
