Measure,UK,USA
Adult population (18+),55022253.0,269763500.0
Obesity prevalence (%),29.905550999999992,33.06260055374031
Adults with obesity,16454707.932264024,89190831.4204233
Model eligible population,3290941.0,89190831.4204233
Eligible population as % of adults with obesity,19.999996435957375,100.0
Annual drug cost per patient,2500.0,17537.26
Treatment uptake Year 1 (%),5.0,5.0
Treatment uptake Year 5 (%),25.0,25.0
Year 1 net budget impact,394912800.0,67469563908.78766
Year 5 net budget impact,1974564000.0,337347819543.9383
