Sensitivity,Net budget impact
Drug cost -25%,239587644529.18008
Drug cost -10%,298243749538.035
Drug cost base,337347819543.9383
Drug cost +10%,376451889549.8417
Drug cost +25%,435107994558.69653
Uptake 10%,139817866296.27246
Uptake 15%,209726799444.40872
Uptake 20%,279635732592.5449
Uptake 25% (base),349544665740.6812
Uptake 30%,419453598888.81744
Healthcare savings -25%,350771039672.71204
Healthcare savings -10%,342717107595.4478
Healthcare savings base,337347819543.9383
Healthcare savings +10%,331978531492.42883
Healthcare savings +25%,323924599415.1646
