Measure,Value
Adult population (18+),269763509.0
Obesity prevalence,33.06260055374031
Adults with obesity,89190831.4204233
Annual drug cost per patient,17537.26
Treatment uptake Year 1,0.05
Treatment uptake Year 5,0.25
Treated population Year 1,4459541.571021165
Treated population Year 5,22297707.855105825
Gross drug cost Year 1,78208140011.80663
Gross drug cost Year 5,391040700059.03314
Healthcare savings Year 1,10738576103.018965
Healthcare savings Year 5,53692880515.094826
Net budget impact Year 1,67469563908.78766
Net budget impact Year 5,337347819543.9383
